epoch,accuracy,loss,val_accuracy,val_loss
0,0.2076167,1.8717374684476735,0.16165950894355774,1.9983582455712838
1,0.27518427,1.6918594324618066,0.270386278629303,1.4983091946153
2,0.30896807,1.59295874438649,0.20314735174179077,1.9326458748147552
3,0.33169532,1.5231309361774155,0.38054361939430237,1.4244900394406954
4,0.33906633,1.5088241235044138,0.32761088013648987,1.516470756824095
5,0.3495086,1.4862427280927466,0.38483548164367676,1.3553141967762523
6,0.34889436,1.47268364060423,0.4163089990615845,1.2856767440217418
7,0.3820639,1.4331015275210068,0.4134477972984314,1.370421307792991
8,0.40356266,1.4332848444617643,0.46494993567466736,1.2817584966044229
9,0.42690417,1.374885380121648,0.27753934264183044,1.5064307006131938
10,0.42874694,1.382929115682035,0.4520743787288666,1.24742060345471
11,0.4477887,1.3397376756996136,0.47353363037109375,1.4255460695135747
12,0.47358721,1.2829338233066718,0.3390558063983917,1.4699021995664496
13,0.4791155,1.2442227130440002,0.38912731409072876,1.5447042337985168
14,0.49938574,1.219073563008695,0.5922746658325195,1.0898346588846952
15,0.53931206,1.1539222057679948,0.5779685378074646,1.1234608239711439
16,0.53931206,1.1455344077410217,0.4163089990615845,1.551746097671798
17,0.5448403,1.1125746887790484,0.5994277596473694,1.0747399049596555
18,0.54545456,1.1091757807743345,0.633762538433075,1.0458753675179762
19,0.5816953,1.0792012977658678,0.5722460746765137,1.085799051968325
20,0.5730958,1.0570767076653989,0.5278970003128052,1.2436246695436632
21,0.6093366,1.0183695162250603,0.6065808534622192,1.0241643487128065
22,0.6167076,0.9931160334580068,0.5851216316223145,1.1095526497251487
23,0.61240786,0.9754509301970573,0.5464950203895569,1.1158836843800306
24,0.6345209,0.963342827133816,0.5908440351486206,1.0354111639726826
25,0.6228501,0.959236317536169,0.6180257797241211,1.0392680996136263
26,0.6197789,0.9780781547326127,0.6394850015640259,0.9954949318936284
27,0.63820636,0.9287239031943993,0.5965664982795715,1.0397457364461624
28,0.65233415,0.9303644541147593,0.5708154439926147,1.048819585504791
29,0.6455774,0.9158918815104323,0.6180257797241211,1.0107284584782155
30,0.63390666,0.9148740340802242,0.6123033165931702,1.026128582603089
31,0.6492629,0.915869528889949,0.632331907749176,0.9965107039320622
32,0.6504914,0.9287529325602388,0.6537911295890808,0.9789803782757771
33,0.6560196,0.9057882067173061,0.6552217602729797,0.9746313911991911
34,0.6486486,0.8941865986629551,0.6151645183563232,1.007857784010651
35,0.65909094,0.8879786557003087,0.6437768340110779,0.9888717955956302
36,0.64496315,0.8956965902220705,0.6037195920944214,1.0212118720292023
37,0.6695332,0.8745045811304003,0.6251788139343262,0.9917784730593363
38,0.66584766,0.8790668415349591,0.6452074646949768,0.9679983560107809
39,0.66523343,0.8639421140825426,0.6094420552253723,1.0087623646501478
40,0.66461915,0.8742176808361926,0.6638054251670837,0.9734472970935237
